,user,latitude,longitude
0,User_3401,-26.489503000000003,-49.028017999999996
1,User_539,-14.4574,-46.433147999999996
2,User_789,-8.903858999999999,-36.487485
3,User_2814,-22.82396,-43.012243
4,User_3432,-24.949576,-53.48850699999999
5,User_5899,-23.023833,-43.509475
6,User_2117,-7.223517999999999,-35.910378
7,User_760,-23.531517,-46.890122999999996
8,User_2286,-1.446357,-48.490528999999995
9,User_3763,-12.234119,-38.953312
10,User_5627,-23.541751,-46.629348
11,User_787,-3.0888150000000003,-59.942324
12,User_4007,-22.913042,-43.171209999999995
13,User_4901,-23.508418,-46.449449
14,User_5617,-22.740572,-41.972438000000004
15,User_2998,-22.559323000000003,-47.164889
16,User_4167,-23.517663,-46.421867999999996
17,User_391,-10.890763,-37.077870000000004
18,User_765,-9.458675999999999,-35.538169
19,User_2926,-2.53397,-44.291229
20,User_1954,-12.241457,-38.949246
21,User_2422,-20.219278,-40.275314
22,User_1448,-21.802988,-48.193333
23,User_1898,-7.2341940000000005,-35.917496
24,User_4142,-22.145943,-49.965196
25,User_5451,-23.690506,-46.699434000000004
26,User_4890,-22.893107,-43.126441
27,User_5692,-19.972985,-44.028886
28,User_4436,-19.960783,-43.927698
29,User_4644,-15.780979,-47.908623999999996
30,User_426,-12.254678,-38.977697
31,User_2979,-29.578727,-50.806156
32,User_3391,-22.773108999999998,-47.15076
33,User_1154,-16.655672,-49.260822999999995
34,User_1477,-8.794858999999999,-39.827065999999995
35,User_675,-31.395184999999998,-52.673046
36,User_413,-5.300807,-44.493196999999995
37,User_3300,-22.958387,-43.065971000000005
38,User_5140,-23.670074,-46.456905
39,User_1195,-23.541361,-46.638404
40,User_5976,-4.83406,-40.319114
41,User_1449,-19.993570000000002,-44.029428
42,User_4054,-22.868993,-43.268939
43,User_1055,-22.83695,-43.011305
44,User_3021,-1.441684,-48.495186
45,User_4749,-3.113177,-60.046779
46,User_740,-23.656267,-46.851134
47,User_3835,-12.874975,-38.306098
48,User_2954,-3.776728,-38.627615000000006
49,User_2555,-23.036172,-44.151142
50,User_4593,-22.861137,-43.089882
51,User_5489,-29.686353000000004,-51.460796
52,User_5969,-23.50208,-46.627122
53,User_936,-22.125119,-51.415169
54,User_5072,-11.270688999999999,-41.946469
55,User_4777,-27.812708,-50.313559999999995
56,User_5495,-22.883535000000002,-43.250734
57,User_392,-9.441383,-40.493812
58,User_2444,-16.210526,-47.927689
59,User_842,-22.712526999999998,-47.640190000000004
60,User_1095,-22.885244,-43.124567
61,User_3684,-12.980724,-38.519979
62,User_2947,-16.686471,-49.266087
63,User_3767,-21.895339,-49.58552
64,User_5463,-3.755869,-38.515454
65,User_3251,-22.008418,-51.553788
66,User_4495,-22.861462,-43.102645
67,User_1674,-22.967369,-43.690222
68,User_3997,-23.741920999999998,-46.686681
69,User_816,-7.132083000000001,-34.872206
70,User_2425,-23.51895,-46.342445
71,User_479,-8.116688,-34.962228
72,User_109,-30.085009000000003,-51.18805
73,User_2745,-15.903205999999999,-48.061961
74,User_689,-22.850804999999998,-47.192367
75,User_3745,-26.969953999999998,-48.639582
76,User_1350,-22.420424,-45.46656
77,User_5399,-23.587684,-46.678294
78,User_2549,-1.711638,-48.879581
79,User_336,-19.925696,-43.940605
80,User_596,-3.0848430000000002,-60.06710699999999
81,User_4162,-23.487201000000002,-46.613209000000005
82,User_3486,-22.786837,-43.31218
83,User_2749,-16.041743,-48.036646999999995
84,User_230,-18.934727,-48.316658000000004
85,User_2398,-20.196165,-40.273928000000005
86,User_5942,-23.483624,-46.691462
87,User_1908,-3.117465,-59.975317000000004
88,User_1714,-23.634123000000002,-46.545265
89,User_2204,-8.097804,-34.885166
90,User_4201,-15.610609,-56.072030000000005
91,User_863,-3.812604,-38.576702000000004
92,User_670,-27.597413,-48.548025
93,User_2174,-12.95734,-38.495776
94,User_5211,-8.086222,-34.894459000000005
95,User_3439,-2.511356,-44.294662
96,User_2667,-3.758112,-38.553765999999996
97,User_1842,-7.159778,-34.841707
98,User_4235,-8.040353,-34.954597
99,User_2644,-17.870159,-41.487237
100,User_2076,-22.314114,-49.059358
101,User_1844,-22.423305,-45.452421
102,User_3097,-23.188197,-46.856168
103,User_1684,-22.922226000000002,-43.633588
104,User_5052,-3.808411,-38.537562
105,User_2984,-29.715875,-49.991833
106,User_5167,-23.013906,-43.462353
107,User_4989,-16.47942,-54.617955
108,User_312,-15.783997,-48.121575
109,User_3505,-16.756967000000003,-49.256423
110,User_919,-27.591693,-48.558875
111,User_1841,-12.905039,-38.397563
112,User_5634,-21.198454,-47.815331
113,User_230,-23.084661999999998,-46.976411
